ReviewContent,Label
Nice shopping app,1
Nykaa you guyz are not giving my reward points after referring d person n even after dat person purchased  You guyz just fool innocent people,0
Love it,1
Is cod available,0
Its awesome,1
Lovee this app...the best one,1
I love this app,1
I like the app on products not happy with the price,1
loved it keep it up nykaa,1
Very nice app but plzz apply cash on delivery below 500 rs also,1
Better experince,1
Wonderful,1
Bad application,0
Nice,1
Lovely products! And excellent service Nykaa. Received all the products within 5 days. Keep up the good work,1
Wonderful app love it,1
fantabulous!,1
very easy to order products on nykaa really loved it,1
very much user friendly app,1
Excellent,1
Its really a good app thats why 5 stars and the products are really awesome or I would say mind blowing . You should try this app,1
all products are very good quality nd dispatch any order very fast I'm just saying it is a great app,1
great app for beauty,1
search could be better. more appropriate filters. otherwise nice app.,1
I buy all.the beauty n personal care stuff from nykaa for the entire family,1
Best app to buy makeup,1
awesome,1
Nykaa have good product and when we buy anything they send the thing safety,1
good variety and nice products,1
good one,1
"i am seriously so disgusted with the service. I ordered some products worth Rs 1300 and i have been trying for days to return two of the products, one of which has a hole in the bottle. I have been struggling to get a proper response and approval of my return request. Why do you mention ""Easy return policy"" when you won't even approve a customer's request. I WANT TO RETURN THE PRODUCTS AND GET MY REFUND ASAP!",0
Very nice,1
Good,1
it is a fantastic App for all persons,1
Awesome to shop makeup essentials,1
worst service from nykaa not receiving my paid product and the app as lot of issues,0
Good,0
Good,1
I ordered a few products at discount & most of the products are close to their expiry. All the products on discount are old & it is a complete waste of money.,0
Amazing app with great delivery service!,1
Nice,1
One of the best online store I have came across its been more than a year I m just loving it,1
I loved shopping here....,1
Its good,1
It's a very user-friendly app. I have been using this app from such a long time for buying products.,1
Best app ever,1
I love the app.. the articles on different products help choosing the right one for u,1
amazing!,1
One stop destination for all beauty buys! trusted site with genuine products!,1
good,1
they only show duscounted product but dont sell on that price,0
I love the app,1
Enjoying shopping in nykaa,1
awesome,1
Did,1
"It has been a while since I started using this app, I'm quite satisfied with it up to the date. Didn't hang till, no disruptive adds, wide range of products, easy returns, reasonable price & what more you want Seems like I'm advertising it but u can try it too_atleast once",1
sometimes they provide duplicate product and cheap quality,0
Very good and nice app,1
Have great exciting offers on products loved it,1
Love this app,1
Can get almost everything needed for personal care.,1
Amazing aap... The product is all genuine.. This shopping aap worth our love and I'm loving it.,1
"Nykaa is doin very good job, it's introducing soo many brands under 1 platform wr v can knw much abt d brand and derz too many options, vch I love it.",1
Good job nykaa..bring more affordable brands,1
the best app,1
Brilliant service,1
Love the products,1
suprr,1
its very nice app,1
I like to online shopping from nykaa,1
"Nice offers, recommend",1
Amazing!,1
one of the best app i have ever used thnk uuhhhh so much i loved it... The products are same as shown in the picture.,1
awesome,1
Great app,1
always good,1
V.gud,1
Superb,1
Fast delivery and authentic product's are delivered.,1
Cheap and fast delivery..,1
Very good,1
Best,1
Nice,1
Very Authentic product with reasonable price available here.,1
Tuanku for free gift,1
"Nykaa is totally delivering the fake product to their coustomer when I got the delivery and opened it, it wasn't what I have ordered from them ,I got what a have bought from the local market for 20/- I ordered lashes it was fake and plastic. we trust them for quality and genuine products but I don't think they do this. when you complain about it they straight deny you as if you don't know anything",0
Very nice,1
excellent!,1
perfect,1
nykaa has changed the whole makeup thing altogether for ladies. sometimes i just wonder how i was doing without u.,1
Amazing app! great offers ,1
Awsm app,1
I love this app!!! Ordered stuffs for my birthday ,1
Best place for getting authentic makeup,1
I just love it,1
best app for beauty prduct,1
Awesome,1
"Fast delivery, good quality product..for a girl, Nykaa is bestest",1
Good,1
love to shopping for Nykaa,1
Very good,1
All in one!!,1
Value for money,1
"I am filled with lots of happiness with this app becoz of free shipping for purchase above 500 n it is also having cod,which is also providing quality n original products where we may not get from other apps,trusted app thanks to nykaa",1
A good app to shop cosmetics,1
Awesome experience,1
"I ordered some products which were placed on time & good packaging. Wonderful app selling branded products with great discout. I love it. If I don't have to buy the product, I still spend my time searcing for discounts and new products. I would love to buy more from this in future. Thanks for the service. :)",1
Superb app,1
Good option for cosmetics,1
"It is pathetic now .the delivery agent does not to pick the ph after he called once. Don't buy from nykaa. Now they are not co-operating also.when i chatted they asked me that do i need to talk to their sr, then the operetar said after 6, min that everybody is busy I once said that this app is fabulous even during lockdown i received products on time, but now i am saying dont use this app.A little common sense will tell you that no one returns ftee goods.But i think he did not bother to call me",0
I loved it... Sitting at home you can order what you wish for at the best possible price.,1
i love nykaa. i always get best product and really good discount. best thing is product Dilevery is very fast. i always buy my favourite brand product from nykaa,1
"The service used to be good , recently though the orders that i have been receiving are missing products , yet they show that they have delivered everything . Its like the people packing the order have forgotten how to count . The support system is also very confusing at times , and is not always functioning . The quality of this site has significantly dropped.",0
Good quality and branded products with really good discounts!!!,1
awsome,1
best,1
Nykaa have some awesome deals for me it's just a whole in one place to shop ,1
Worst app ever and worst site ever tried,0
"Good quality products, would like to recommend to all",1
A great app !!!!!,1
Love it,1
my best shopping store nykaa i love my nykaa Shop,1
awsome,1
best cosmetic app,1
Superbbb,1
Love this application and this is my resent addiction,1
very great,1
It keeps loading the photos. I don't have network issue and it does work but can't see the products. Please fix it,0
